date,text,stars
11/19/2023,It’s super soft and good quality! I can’t wait to sleep on it. I just got it. I’m going to let it air out and stuff for about 2-3 days and see if it expands more from being air tight. There’s a small smell but it’s not anything unbearable or terrible smelling. I love my new mattress. ☺️,5 out of 5 stars review
8/25/2023,"This 12” twin mattress is a second mattress from Zinus I bought. First one was queen size mattress passed the test of two years hard use (two overweight people) with excellent grade.no smell when unpacking, preservation of the original shape after two years, comfortable and soft, this criteria satisfied us. Will definitely buy again, and recommend to anyone.",5 out of 5 stars review
9/30/2023,I love this bed! I used it for 7 years and when it wore out I thought I wanted something different so I bought a pillow top mattress but after 60 days of the pillow top no doubt I went back and purchased another one of these. Such a great value if you truly love memory foam mattress!,5 out of 5 stars review
12/19/2023,"Easy set up fast delivery of shipping unbox. It pulls it out of the bag and throw it down. 
A firm mattress without coils. 34 M 200LBs. love this bed. supports me perfectly.",5 out of 5 stars review
11/10/2023,My daughter loves this mattress. It is so comfortable. I’m so glad I purchased this mattress. The Mattress was so soft and firm making it perfect to sleep on. Look at how thick the mattress is. I’m pleased with it.,5 out of 5 stars review
12/28/2023,"I was afraid it wouldn’t be thick enough. But the card says give it 72 hrs and my god it already blew past my expectations. And my daughter loves it, it’s so soft. Just sucks she’s just gonna sleep on a mattress til the 5th of January 🤷🏼‍♀️ but what are ya gonna do?! Ya know?! But she absolutely loves her mattress. Thank you 🥰",5 out of 5 stars review
3/18/2023,"It helped me with my back problems because I suffer and it is also a very good mattress because you can sleep I have slept face down without pillows and it is super comfortable that everything is very good I recommend it 100%

It comes in a box, it is easy to transport, you unroll it and in less than 24 hours it reaches its height. I bought the 10’ and it is perfect, it is very comfortable and very so",5 out of 5 stars review
1/20/2024,"I give 5 stars because if it was 6 inches, (its 5) it would be perfect in every way. Comfortable and soft and durable. The fabric on it is a tad loose, but that may be because it didn't inflate to 6 in.",5 out of 5 stars review
10/25/2023,I bought the 8 inch as we already have a pretty tall frame and box spring! This bed is comfy and but pretty soft! No smell to the mattress and expanded within seconds of cutting the package. The box is not the long awkward box and is easy to carry.,5 out of 5 stars review
2/20/2017,I needed a new mattress and had decided I was going to buy a Memory Foam.  I was researching all the online brands because I wanted one that was delivered to my home.  I was almost ready to purchase a Cocoon mattress based on price and construction.  I was purchasing groceries on Walmart.com and decided to look at the bedding and linen section actually looking for something else.  I stumbled upon this memory foam mattress and was stunned they even carried mattresses.  I started reading reviews and they were all for the most part very positive.  I read tons and looked at pictures.  I went back and reviewed the construction of all the other more named brand memory foam mattresses and then the construction of this brand.  I realized it was ver...,5 out of 5 stars review
1/17/2021,"I bought this bed back in March 2020 and I waited to write a review because I wanted to at least experience it for 6mths. The bed is amazing for the price and extremely comfortable. I’ve had family come over and sleep in my bedroom and have raved about my mattress. My mom bought a temperpedic and exchange it for this mattress. There was no smell as mentioned in previous reviews, it inflated almost immediately and within 24 hours we were sleeping on the mattress. It is heavy and definitely a two person move but you won’t regret it",5 out of 5 stars review
8/3/2021,"Shipping was great. Right on time. I read other reviews that said it was heavy so I was prepared. I pulled the box up to my door and opened it. I laid it on its side and pulled the rolled up mattress out and onto an old blanket.  Pulled the mattress to the bedroom. As soon as I began unrolling the plastic, I could hear the mattress breathing. Once its unrolled, you will see its folded in two and enclosed in another piece of plastic. As soon as I cut the plastic, the mattress started rising. Before I could cut away most of the plastic, it was nearly the full size. Its absolutely beautiful. My guest room is perfect now.",5 out of 5 stars review
