date,text,stars
4/18/2023,"Shoppers should check the item for damage, even if they are not planning to use it right away. We paid for installation only to have it cancelled due to lack of staff. Left it in the box. Opened it this morning to find the screen shattered. Need to know how to replace this item.",3 out of 5 stars review
3/18/2023,Worked fine for a few months… not the SmartCast home page takes a long time to load if it does at all without having to be restarted. It doesnt always play apps and has to reboot often. Sometimes the screen goes black but continues to play the sounds from the show aswell.,3 out of 5 stars review
1/28/2022,"This would be a fantastic TV except for some bothersome problems. There are a multitude of lime green lines of various lengths extending from the top of the screen all the time. Most of the time but not always, there is a 5"" transparent bar going across the bottom of the screen from left to right. The TV was okay for the first 2 days I had it but these problems have escalated as the days go by. I've had it for a week, so not a lot of days. I'll be calling Vizio today for help. If that doesn't work, I'll have to call Walmart. My husband has already burned the box, and I have a sinking feeling this will be an issue. So disappointed...",3 out of 5 stars review
2/12/2023,"So far so good. It starts up easily enough. However, the Smartcast Operating System bloats the menu with dozens and dozens of proprientary and partnership apps that seem to slow down performance greatly. Apps that our family has zero intention of ever using. Vizio attempts a 'slight-of-hand' claim that ""everything is managed online"" and this glut of data isn't kept on the TV. But all THAT means is that this slowdown is eminating from the TV drawing down more unneccasary data whenever it's being used, choking at the speed of our internet service. For those of you who don't know this;  such bloatware is how products like pre-installed laptops and this Vizio TV are delivered to the market at scale for rock bottom prices. They compensate the ac...",3 out of 5 stars review
11/15/2023,"Delivery was fine; however, Walmart sent a TV that had something spilled all over the box. It is dry, but sticky. I am concerned that it was also spilled into the TV.",3 out of 5 stars review
12/31/2023,I have had sport in corner planning on returning it. Guy carring it to porch was carring it sideways not sure how it was in his car.,3 out of 5 stars review
10/7/2023,"I would have given this a 5, BUT It came damaged. The overall television is nice. It arrived on time. Next time I'll just buy it out the store. Don't want to risk receiving another damaged television.",3 out of 5 stars review
9/6/2023,"I like the price of the television, but this tv isn't so good. It freezes and the remote acts as if it will not connect to the tv. The television has a clear picture, but you will need a sound bar for movie watching.",3 out of 5 stars review
9/12/2023,"Picture is fine, but The audio isn't crispy clear",3 out of 5 stars review
2/10/2024,"The TV has a great picture, the audio...I still need to adjust the settings, because I don't like the way it sounds.
I do not like that every time I turn it on, I have to go to the app/input settings on the remote/TV and switch it to HDMI 1, so I can watch my cable TV channels. otherwise the TV is stuck on Vizio TV. I also do not like the remote. There is no channel up or down button, so I'm constantly having to use 2 remotes. The TV remote and the cable remote, when im used to only using the one. I just recently found the volume and mute buttons on the side of the control. Why wouldn't you have a volume and channel up and down button on the front of the remote where they belong? You can buy a new remote from Vizio,  but it's always out of ...",3 out of 5 stars review
