date,text,stars
4/8/2023,"fantastic picture and insanely good price considering the picture and features. not a fan of the video set up and registration process compared to when I set up the one in my master bedroom which is the same TV just an older version from 2 years ago. I like the upgraded remote and think most people with smartphones will love the setup process. I'm just a little old school. quickly set up with my streaming device, though average users can happy use onboard apps from the app store.",4 out of 5 stars review
6/8/2023,"The tv is great, it started out disappointing because some apps were working and some weren't, but all we did was call Vizio and they fixed the problem from their end! Great customer service and it was a quick fix! Loving my new tv so far! Great picture quality!!",4 out of 5 stars review
5/28/2023,Love the Tv. Its 1 wk past 12 mos vizio waranty and i have purple lines all over the screen. Have babied this tv...thankfully i paid for the extra  4yr plan. Filing a claim now. Hoping its an easy process to fix.,4 out of 5 stars review
8/3/2023,"Set up was easy, color on point and lots of apps and free movies but I did not realize it wasn’t a Roku tv but i had an extra one on hand to access my generic cable but it’s a Vizio and my second one which I’ve had since Walmart first sold them and still works great so it’s a keeper!",4 out of 5 stars review
12/29/2023,"for the price during the Black Friday sale I mean I don't really feel like I got off Black Friday deal. That's just me being personally honest, the real Black Friday savings didn't start until a couple days before Christmas. personally, that's just from my observation. At first I ordered a 43 in forgot that I had a 43-in in the living room and wasn't content. so decided to go for a 55-in Samsung but after realizing that I would have to wait nearly a week. I found the 50 in V-Series which for $345 after tax and delivery I mean it is what it is. If I can get three years without any issues I'll be surprised and maybe I'll feel as if it was worth every dollar not saved for Black Friday. with all seriousness, I wanted something within a couple h...",4 out of 5 stars review
8/2/2023,"The tv is ok. Picture quality is fair in my opinion 
My older tv had a better picture. That came w our house. Not sure if the age. But older, heavier, not a smart tv. A Sony. Had very crisp, bright pic. This Vizio could be better. Still a heavy tv, too. Expected it to be lighter.",4 out of 5 stars review
5/23/2021,"Picture is crisp, clear and amazingly vivid. Impressive package of the latest features offered in televisions.
Highly recommend sound bar with this tv any tv over 40-inch needs audio enhancement. We didn't have sound bar but will purchase one for this size. Does have built in features to adjust audio without soundbar, adequate.
Shipping and delivery were satisfactory. Notification for delivery was updated every 6-8 hours prior to delivery. 
TV was packaged extremely well. Front of box had sizable dent in cardboard, yet inside was unaffected.
Paper instructions for hook-up, plug- in were simple and easy to follow. USB ports were well marked. Bonus point: having bright colored, designated sound bar port was a nice feature.
Once TV is tur...",4 out of 5 stars review
8/7/2022,"i like it alot , and from  family experience's they have had VISIO in the past they make a good product the one thing i did not like is that i found out that visio was basically tracking you for advertisement's  with the TV and clipping pixels from prog you watched. they qwere taken to mcourt from what i read. the only other thing is personaly i wish it had more input and out put options on the back  more usb ports and or  a couple of C ports would have been nice  i play guitar and bass so iam actualy useing as a monitior   i watch the free channel and youtube here and ther i dont have cable in my room plus i wish bthe remote was more like a remote  i had to download the remote app to my phone to get more functions. like plugginfg in a exte...",4 out of 5 stars review
1/22/2023,The Tv legs are in a weird spot way far out on each side so the TV did not sit on the table I intended it to. We had to purchase a table top stand and attach the TV to the pole and remove the legs it now swivels and fits perfect in my living room.,4 out of 5 stars review
8/7/2021,"Great picture better than Samsung which my husband always like.  We bought this because our son said Vizio is good.  Only problem is no picturewhen you turn it on, you have to wait a few seconds. Bright picture and sound is excellent.",4 out of 5 stars review
